,Unnamed: 0,texts,questions,answers,urls
305051,305051,"""Notwithstanding the impact of Covid-19, I am struck by the positive developments across the sector and through the data evidenced in this report. This report reveals another year-on-year increase in the number of children with additional needs receiving support under the Access and Inclusion model. The continued progress towards a highly qualified workforce is also very positive, with a significant increase in the number of staff qualified to level 7 or higher. 
""High quality research and data are essential to developing the early learning and care system, and the data in this report will inform a range of significant policy initiatives underway to continue to develop and strengthen the sector. I offer my thanks again to all of those who took the time to participate”. 
Anna Shakespeare, Pobal CEO added:",Why are high quality research and data important for the early learning and care system?,High quality research and data are essential for developing and strengthening the early learning and care system. The data in this report will inform significant policy initiatives.,https://www.gov.ie/en/press-release/33152-the-minister-for-children-equality-disability-integration-and-youth-roderic-ogorman-td-has-published-the-annual-early-years-sector-profile-report-20192020/
185246,185246,"Hospital statistics
Gender of patients
Age range affected
How COVID-19 is spreading
Hospitalised cases by age group
Cases by county
There have been no new deaths reported to the Health Protection Surveillance Centre today.
There has been a total of 1,777 COVID-19 related deaths in Ireland.
As of midnight Saturday 22 August, the HPSC has been notified of 61 confirmed cases of COVID-19. There has now been a total of 27,969 confirmed cases of COVID-19 in Ireland.
Of the cases notified today:
30 are men and 30 are women
67% are under 45 years of age
23 are confirmed to be associated with outbreaks or are close contacts of a confirmed case
16 cases have been identified as community transmission
39 are in Dublin, 13 in Kildare and the remaining 9 cases are in Cork, Kerry, Laois, Limerick, Longford and Wicklow
The HSE is working to identify any contacts the patients may have had to provide them with information and advice to prevent further spread.",What are the age groups affected by COVID-19?,The age groups affected by COVID-19 include individuals under 45 years of age.,https://www.gov.ie/en/press-release/6e3f1-statement-from-the-national-public-health-emergency-team-sunday-23-august/
250008,250008,"EU Values 
The Porto Declaration signed by EU Leaders earlier this year also makes clear the EU is significantly more than just a shared marketplace – that our shared European ideal is first and foremost about improving the lives of our citizens.
It is also of vital importance that foundational EU values, like the rule of law, are preserved and promoted across the Union.
I believe shared membership of the EU means that close partners can raise concerns in a constructive and open way where there are challenges.
Ireland has consistently supported the Commission’s development of a more comprehensive range of tools to ensure that Member States adhere to their obligations, including the annual Rule of Law Process.
We believe there is a clear basis for the Commission to pursue this more proactive approach, given its role as guardian of the treaties.
Healthy democracy needs a strong, independent and pluralistic media sector.",What does the Porto Declaration signed by EU Leaders emphasize?,The Porto Declaration signed by EU Leaders emphasizes that the EU is more than just a shared marketplace and that the shared European ideal is primarily focused on improving the lives of citizens.,https://www.gov.ie/en/speech/9413b-remarks-by-the-taoiseach-to-eu-heads-of-mission/
119162,119162,"A youth-enabling programme entitled Cuisle is the central plank of the approved fund – its goal is to promote language-based arts, especially drama in the Gaeltacht.
It is the third three-year grant approved by the department to Ealaín na Gaeltachta as additional support for the ongoing implementation of the language planning process.
The increased fund will be used mainly to:
provide for c. 5,000 pupils/children in 15 Gaeltacht Language Planning Areas through the Cuisle programme
support the creation of 2 full-time and 2 part-time post to carry out the organisation's expanded agenda
create an income opportunity for up to 14 artists – including musicians, playwrights and singers
The fund was announced while Minister Martin was in An Rinn to visit Coláiste na Rinne – where she had spent a year at school. In addition to visiting her alma mater, Minister Martin visited the television production company Nemeton which is based in the area.",How many pupils/children will be provided for through the Cuisle programme?,"The Cuisle programme will provide for approximately 5,000 pupils/children in 15 Gaeltacht Language Planning Areas.",https://www.gov.ie/en/press-release/8b8b0-unpublished-372m-fund-announced-by-minister-martin-and-minister-of-state-odonovan-for-the-promotion-of-the-arts-in-the-gaeltacht/
42562,42562,"Basic Payments (BPS) and Greening Schemes - Privacy Notice
Beef Schemes: BEEP, BEAM, BDGP BFP 
Beef Schemes / BDGP, BEEP, BEAM, BFP - Privacy Notice
Brexit Impact Loan Scheme 
Brexit Impact Loan Scheme
Brexit Unit Call Centre 
Brexit Unit Call Centre Privacy Notice
CAP Rural Development 
CAP Rural Development
CAP Strategic Plan 
CAP Strategic Plan - Privacy Notice
Central Depository for Pre-Approved Applications – Privacy Notice 
Central Depository for Pre-Approved Applications – Privacy Notice
Climate Change & Bioenergy Policy Division 
Climate Change & Bioenergy Policy Division
Competitions and Recruitment 
Competitions and Recruitment - Privacy Notice
Continued Professional Development for KT Facilitators 
Continued Professional Development for KT Facilitators
Corporate Affairs Division 
Corporate Affairs Division - Privacy Notice
Covid Loan Scheme 
Covid Loan Scheme - Privacy Notice
Crop Policy, Evaluation and Seed Certification",What is the purpose of the Central Depository for Pre-Approved Applications?,"The Central Depository for Pre-Approved Applications is mentioned in the text, but no specific purpose is mentioned.",https://www.gov.ie/en/collection/be6db-data-protection-privacy-notices/
343699,343699,"The conference brings together senior officers from An Garda Síochána, the Police Service of Northern Ireland, the National Crime Agency, the Revenue Commissioners, Her Majesty’s Revenue and Customs, and government departments from both jurisdictions.
The conference is co-funded by the Department of Justice and Equality and the Department of Justice, Northern Ireland.
The Department of Justice and Equality and the Department of Justice in Northern Ireland take turns in organising the conference. The 2017 Conference was held at the Crowne Plaza, Dundalk on 27-28 September.",When and where was the 2017 Conference held?,"The 2017 Conference was held at the Crowne Plaza, Dundalk on 27-28 September.",https://www.gov.ie/en/press-release/dde27a-minister-flanagan-opens-annual-cross-border-conference-on-organised-/
189312,189312,"public order, rescue and emergency services (including fire, coastguard, lifeboat, mountain rescue and ambulance services)
the performance by the Defence Forces of the functions conferred on them by or under any enactment
emergency call answering services
services to enable the administration of justice
prison services and child detention services (including all onsite activities)
cyber-security services
the provision of social protection benefits
regulatory processes and certification required to ensure supply chains, safety of food, beverages, medicinal products, medical devices or appliances, other medical or health supplies or products, and general process safety
the operation and maintenance of botanical gardens, parks, forests, nature reserves and playgrounds
activities relating to the management, protection, restoration and conservation of protected species, habitats and designated natural, archaeological and built heritage sites","What areas are covered under the activities relating to the management, protection, restoration, and conservation mentioned in the text?","The activities relating to the management, protection, restoration, and conservation mentioned in the text cover botanical gardens, parks, forests, nature reserves, and playgrounds.",https://www.gov.ie/en/publication/c9158-essential-services/?referrer=http://www.gov.ie/en/publication/dfeb8f-list-of-essential-service-providers-under-new-public-health-guidelin/
124966,124966,"Approved by the Republic of Albania on 30 June 2015 and on behalf of the European Union and its Member States on 31 January 2017. 
Treaty type: Multilateral 
Entered into force: 1 February 2017 
Protocol to the Agreement between the European Community and its Member States, of the one part, and the Swiss Confederation, of the other, on the free movement of persons, regarding the participation of the Republic of Croatia as a Contracting Party, following its accession to the European Union, done at Brussels on 4 March 2016 
Concluded on behalf of the European Union and its Member States on 8 November 2016 and the Swiss Confederation on 16 December 2016. 
Treaty type: Multilateral 
Entered into force: 1 January 2017",What is the date of approval for the Agreement between the Republic of Albania and the European Union?,The Agreement between the Republic of Albania and the European Union was approved on 30 June 2015.,https://www.gov.ie/en/treaty-series/
344033,344033,"Following on from the launch of the report 'Roma in Ireland – a National Needs Assessment' in January 2018, the Department of Justice and Equality is inviting proposals to generate employment opportunities for members of the Roma community.
Funding has been secured from the Dormant Accounts Fund for 2019 and 2020 for this purpose. Total funding available for 2019 is € 500,000 to be divided into lots of between €50,000 - €75,000 per proposal with a similar amount available in 2020.
Minister of State David Stanton TD said:",How much funding is available for 2019?,"A total funding of €500,000 is available for 2019.",https://www.gov.ie/en/press-release/ed3a8e-employment-opportunities-for-the-roma-community/
99947,99947,"Public Consultation on the National Centre for Research and Remembrance 
In review; 25 July 2023; Department of Children, Equality, Disability, Integration and Youth; Consultation; 
Public Consultation to inform a new Action Plan for Youth Services 
None; 1 June 2023; Department of Children, Equality, Disability, Integration and Youth; Consultation; 
Referendums on Family, Care and Gender Equality – request for submissions 
In review; 25 April 2023; Department of Children, Equality, Disability, Integration and Youth; Consultation; 
Statement of Strategy 2023 Draft Survey 
Closed; 11 April 2023; Department of Children, Equality, Disability, Integration and Youth; Consultation; 
Consultation on Draft Principles for Engaging with the Arts in Early Learning and Care 
Closed; 15 February 2023; Department of Children, Equality, Disability, Integration and Youth; Consultation;",When was the Statement of Strategy 2023 Draft Survey closed?,The Statement of Strategy 2023 Draft Survey was closed on 11 April 2023.,https://www.gov.ie/en/search/?type=consultations&organisation=department-of-children-equality-disability-integration-and-youth&page=1
183360,183360,"Wexford	59	127.6	191	
Mayo	5	113.4	148	
Dublin	193	112.7	1,519	
Meath	42	91.3	178	
Offaly	<5	88.5	69	
Waterford	11	86.9	101	
Kerry	33	78.5	116	
Kildare	27	78.2	174	
Wicklow	5	77.9	111	
Tipperary	<5	68.3	109	
Sligo	11	65.6	43	
Galway	7	46.9	121	
Roscommon	<5	44.9	29	
Cork	34	38.5	209	
Westmeath	<5	34.9	31	
Clare	<5	25.2	30	
Leitrim	0	25	8	
The 7 day incidence is 57.8 per 100,000 of population.
The 5 day moving average is 417.
Hospital statistics 
Total number of cases	77,672	
Total number hospitalised	5,549	
Total number admitted to ICU	654	
Total number of deaths	1,889	
Total number of healthcare workers	12,702	
Number clusters notified	10,288	
Cases associated with clusters	43,076	
Median age	39	
*All statistics measured at midnight on Wednesday 16 December.
Gender of patients 
Gender 	Number of cases 	
Male	36,627	
Female	41,006	
Unknown	39	
Total	77,672	
*All statistics measured at midnight on Wednesday 16 December.
Age range affected 
Age range 	Number of cases 	
0 - 4	2,082",What is the total number of cases?,"The total number of cases is 77,672.",https://www.gov.ie/en/press-release/7e5c7-statement-from-the-national-public-health-emergency-team-friday-18-december/
206908,206908,"In review; 25 August 2023; Department of Enterprise, Trade and Employment; Consultation; 
Temporary road closure - R624-91 (part of) Harbour Row, Cobh, Co. Cork to facilitate installation of a new watermain and services 
Closed; 24 August 2023; Cork County Council; Consultation; 
Temporary road closure - L-4407-0 (part of), Colla Road, Schull, Co. Cork to facilitate road repairs 
Closed; 24 August 2023; Cork County Council; Consultation; 
Temporary road closure - R594-34 (part of) Caheragh Village, Co. Cork to facilitate vintage threshing festival 
Closed; 24 August 2023; Cork County Council; Consultation; 
Ballyteige Kilmore - Cull & Lacken Sea Wall Remedial Works 
In review; 23 August 2023; Office of Public Works; Consultation;","What is the purpose of the temporary road closure on Harbour Row in Cobh, Co. Cork?","The purpose of the temporary road closure on Harbour Row in Cobh, Co. Cork is to facilitate the installation of a new watermain and services.",https://www.gov.ie/en/search/?type=consultations&page=7
264094,264094,"All across Europe now, it is causing very seriously difficulties in yet another surge.
Health services are at crisis point, and countries and regions are reintroducing severe restrictions.
We can avoid this if we move forward sensibly and safely.
That is what we are going to do.
Because of the success in reducing case numbers, we are now in a position to review the 5km travel limit for people. From 12 April, that limit will no longer apply, and people may travel within their county for exercise and recreation.
From 12 April, two households will be able to meet outdoors for social and recreational purposes.
We can also plan for a phased return of the construction industry: from 12 April, those involved in the construction of housing and childcare facilities may return to work. This will involve around 14,000 workers and we believe it is absolutely necessary in terms of dealing with the housing crisis and improving the country’s childcare sector.",What measures are countries and regions taking?,Countries and regions are reintroducing severe restrictions to address the crisis and prevent further spread of the virus.,https://www.gov.ie/en/speech/6d7c3-speech-by-the-taoiseach-micheal-martin-announcing-new-public-health-measures-coming-into-place-on-april-12/
219287,219287,"I would encourage anyone who has been the victim of any form of violence or abuse, no matter where it happened, to report it and to avail of the supports services and structures that are there to support you, both within the IPS and more generally.
Finally I want to conclude by thanking Karl, Gabriel, Terry and Mark for meeting with me earlier this year for inviting me to join you today.
The insights I obtained from you, and indeed from the Director General, about the work you do and the environment you do it in, have enabled me to engage deeply on a number of the key issues you raised with me.
The memo I bought to Cabinet this week sets out clearly the pressure the system is under and what needs to be done to address it.
The reports of the High Level Task Force and the Health Needs Assessment looks at what is needed when people with health, mental health and addiction issues are committed to prison.",What does the memo bought to Cabinet this week address?,The memo bought to Cabinet this week addresses the pressure the system is under and what needs to be done to address it.,https://www.gov.ie/en/speech/fb379-minister-for-justice-simon-harris-td-at-the-prison-officers-association-annual-conference-27th-28th-april-2023/
12004,12004,"1905 10, 1905 20, 1905 31, 1905 32, 1905 40, 1905 40 10, 1905 90 10, 1905 90 20, 1905 90 30, 1905 90 45, 1905 90 55, 1905 90 60, ex 1905 90 90;		Bread, cakes, biscuits, waffles and wafers, rusks, toasted bread and similar toasted products; containing less than 20 % of processed dairy and egg products and treated as provided for in Article 6(1)(a) of this Decision. 1905 90 covers only dry and brittle products.	
ex 2001 90 65, ex 2005 70 00 ex 1604		Olives stuffed with less than 20 % fish, Olives stuffed with more than 20 % fish	
ex 2104 10 and ex 2104 20		Soup stocks and flavourings packaged for the final consumer, containing less than 50 % of fish oils, fish powders or fish extracts and treated as provided for in Article 6(1)(a) of this Decision.	
ex 2106 10, ex 2106 90		Food supplements packaged for the final consumer, containing small amounts (in total less than 20 %) of processed animal products (including glucosamine, chondroitin and/or chitosan) other than meat products.",What is the condition for the products covered by ex 2104 10 and ex 2104 20?,"The products covered by ex 2104 10 and ex 2104 20 must contain less than 50 % of fish oils, fish powders or fish extracts and must be treated as provided for in Article 6(1)(a) of this Decision.",https://www.gov.ie/en/service/9099e-importing-composite-food-products/
315493,315493,"Work undertaken in 2019 to advance the First 5 parenting support commitments included securing agreement on the approach to developing a national model of parenting support services, and the development and commencement of an implementation plan for each action. Rapid reviews of effective mechanisms of information delivery to parents and international approaches to parenting support policy were commissioned to inform the development of an information platform for parents and the development of a national model of parenting support services.
iii. New developments in child health 
A Steering Group was established by the Department of Health in 2019 to commence work on a dedicated child health workforce - one of the major commitments of First 5. The dedicated workforce will focus initially in areas of high population density and disadvantage.",What work was undertaken in 2019 to advance the First 5 parenting support commitments?,"In 2019, work was undertaken to advance the First 5 parenting support commitments. This included securing agreement on the approach to developing a national model of parenting support services and the development and commencement of an implementation plan for each action.",https://www.gov.ie/en/press-release/c1f7d-minister-ogorman-publishes-detailed-annual-progress-report-for-first-5-the-whole-of-government-strategy-for-babies-young-children-and-their-families/
164433,164433,"Commitment to human rights is a central pillar of Ireland’s foreign policy.
We take very seriously our obligation to respect, protect and fulfil human rights, and we are strong advocates for the promotion of human rights internationally.
Ireland is a long-standing champion of the role of civil society, in Geneva, in New York and across communities globally.
We are gravely concerned by the pressures being experienced by civil society worldwide, and in particular, by reports of actions that prevent civil society actors and human rights defenders from carrying out their work.
Russian authorities continue to crack down on civil society, liquidating yet another prominent human rights organisation, Moscow Helsinki Group, in recent months.
Just this month in Algeria, we saw the dissolution of LADDH and RAJ, two of the most important human rights organisations in Algeria.",What does Ireland take very seriously?,"Ireland takes its obligation to respect, protect, and fulfill human rights very seriously.",https://www.gov.ie/en/speech/6424f-statement-by-tanaiste-micheal-martin-at-the-52nd-session-of-the-human-rights-council/
77827,77827,"The technical elements of the proposals are acceptable and meet the Department’s requirements
Please note that the validity of this decision may be questioned by judicial review under Order 84 of the Rules of the Superior Courts (S.I. No.15 of 1986), as amended. Any application for leave to apply for judicial review must be made promptly and in any event within three months from the date of this decision. Practical information on the review mechanism can be obtained from the Citizens Information Board, Ground Floor, George's Quay House, 43 Townsend Street, Dublin 2, or online at www.citizensinformation.ie or www.courts.ie.",Where can practical information on the review mechanism be obtained?,"Practical information on the review mechanism can be obtained from the Citizens Information Board, Ground Floor, George's Quay House, 43 Townsend Street, Dublin 2, or online at www.citizensinformation.ie or www.courts.ie.",https://www.gov.ie/en/publication/6db22-application-decision-application-by-pse-kinsale-energy-limited-to-conduct-end-of-operations-seabed-sampling-surveys-of-the-kinsale-head-including-south-west-kinsale-ballycotton-and-seven-heads-gasfields/
262247,262247,"Missions should be aware that where Declarations are requested in respect of Protected Structures, each building is recorded internally and externally in order to prepare the Declaration. Recording involves a written and photographic survey and while such records are treated as confidential the Declaration itself is a public document. Furthermore, under the Freedom of Information Act, a Local Authority may be obliged to disclose any document in their possession.
For once off, minor works including repair works or alterations, the Mission may seek a Section 5 Declaration. This determines whether the proposed works are exempt from the need to seek planning permission. This application normally takes four weeks and there is a fee of €80. The documentation submitted with the Section 5 application is placed on the public file.
Information on Heritage Guidelines and regulations on Protected Structures is available at www.dublincitycouncil.ie",Where can information on Heritage Guidelines and regulations be found?,Information on Heritage Guidelines and regulations on Protected Structures can be found at www.dublincitycouncil.ie.,https://www.gov.ie/en/publication/7ec60-guidelines-for-diplomatic-missions/
385064,385064,"€3.5 million is to be provided for measures to improve quality in childcare. 
A new single affordable childcare programme will be developed to replace the existing Community Childcare Subvention (CCS), After-School Childcare (ASCC) Scheme, Childcare Education and Training Support (CETS) programme and Community Employment Childcare (CEC) programme. Work on the programme will begin immediately, so that it can be in place by 2017.
A €3 million capital fund will be available to providers who need minor funding to develop after-school care services using existing school and other accessible community facilities.
Education
Pupil/teacher ratios will reduce to 27:1 in primary schools and 18.7:1 in secondary schools. 
New education posts will be created. There will be 2,260 new classroom teachers, including 600 new resource teachers. 
Funding for the School Meals Programme will increase by €3 million.",What are the new pupil/teacher ratios in primary and secondary schools?,"The pupil/teacher ratio in primary schools will reduce to 27:1, while in secondary schools it will reduce to 18.7:1.",https://www.citizensinformation.ie/en/money-and-tax/budgets/budget-2016/
332359,332359,"Maintaining the public finances – and the interest bill in particular – on a sustainable path is particularly important within a monetary union where monetary policy is not always optimal for a small country.
So while the policy framework with respect to deficits and debt is evolving, this does not absolve us of the need to reduce our deficit over time.
Yes, we need to continue to provide counter-cyclical support for the economy; but this support must, of course, be sustainable.
There is a new balance that we must attain.
To sustain our debt, to manage our deficit we need economic growth. That economic growth requires and is receiving, and will receive, strong support.",What does the policy framework with respect to deficits and debt not absolve us of?,The policy framework with respect to deficits and debt evolving does not absolve us of the need to reduce our deficit over time.,https://www.gov.ie/en/speech/ad527-the-pandemic-one-year-on-speech-by-the-minister-for-finance-mr-paschal-donohoe-td-economic-and-social-research-institute-march-4th-2021/
137549,137549,"Commission on Taxation and Welfare 
Commission on the Defence Forces 
Commission to Inquire into Child Abuse 
Commissioners of Irish Lights 
Competition and Consumer Protection Commission (CCPC) 
Cork City Council 
Cork County Council 
Cork Education and Training Board 
Cork Institute of Technology 
Crawford Art Gallery 
Criminal Injuries Compensation Scheme 
Criminal Law Codification Advisory Committee 
Data Protection Commission 
Defence Forces of Ireland 
Dental Council 
Department of Agriculture, Food and the Marine 
Department of Children, Equality, Disability, Integration and Youth 
Department of Defence 
Department of Education 
Department of Enterprise, Trade and Employment 
Department of Finance 
Department of Foreign Affairs 
Department of Further and Higher Education, Research, Innovation and Science 
Department of Health 
Department of Housing, Local Government and Heritage 
Department of Justice 
Department of Public Expenditure, NDP Delivery and Reform",What is the name of the commission responsible for child abuse inquiries?,The commission responsible for child abuse inquiries is called the Commission to Inquire into Child Abuse.,https://www.gov.ie/en/search/?type=consultations&organisation=department-of-finance&page=4
374386,374386,"Rules
Whether you decide on a religious, secular or civil ceremony you will require a Marriage Registration Form (MRF). You can get your MRF by giving 3 months’ notice of intention to marry to the registrar at a Civil Registration Service. You should contact your local civil registration service to make an appointment with the registrar. You can also use the online booking system. 
Registered solemnisers
A solemniser is the term given to a person licensed by the State to conduct weddings. Only a registered solemniser can perform a legally binding wedding ceremony. The General Register Office maintains a Register of Solemnisers of Marriage (pdf) and anyone solemnising a civil, secular or religious marriage must be on the Register. These categories are clearly outlined in the Register of Solemnisers as civil/religious/secular.
How to apply?",What is a Marriage Registration Form (MRF) and how can it be obtained?,A Marriage Registration Form (MRF) is required for all types of ceremonies. It can be obtained by giving 3 months' notice of intention to marry to the registrar at a Civil Registration Service. An appointment can be made with the registrar through the local civil registration service or online booking system.,https://www.citizensinformation.ie/en/birth-family-relationships/getting-married/different-legal-ways-of-getting-married/
201542,201542,"Notes 
Registration requirements for early years services are set out in Section 58D of the Act. The ELC and SAC Regulations set out in more detail the specific requirements and process to be followed in order to register a service with Tusla.
All ELC and SAC services must register with the Tusla Early Years Inspectorate, the independent statutory regulator for the sector. Tusla is responsible for the registration and inspection of all ELC and SAC services. All services are required to re-register with Tusla every three years and, within that three-year registration period, services will be inspected at least once. The Tusla register of ELC services is available here and the SAC register is available here.",Where can the SAC register be accessed?,The SAC register can be accessed at [link].,https://www.gov.ie/en/press-release/5106b-minister-ogorman-announces-changes-to-regulation-to-allow-for-a-more-streamlined-re-registration-process-for-elc-and-sac-services-and-to-enhance-availability-of-information-on-services-for-parents/
389585,389585,"You may also be eligible to claim the Guardian’s Payment from the Department of Social Protection.
It is not necessary to be a legally appointed guardian. You may get this payment if the child lives with you, and you are responsible for their care.
Becoming a guardian
Guardianship means you have legal responsibility for certain decisions and to carry out duties in relation to a child's upbringing. For example, decisions about their medical or dental treatment, or their religious or cultural upbringing.
As a grandparent, or other relative carer, you can apply to your local District Court for guardianship if:
You have provided the day-to-day care of the child for at least 12 months in a row and
There is no parent or guardian willing (or able) to carry out guardianship responsibilities in respect of the child
You can also apply for guardianship if the child’s parents die without appointing a guardian in their will.",When can someone apply for guardianship if the child's parents have passed away?,"If the child's parents have passed away without appointing a guardian in their will, someone can apply for guardianship in such circumstances.",https://www.citizensinformation.ie/en/birth-family-relationships/older-people/grandparents-rights/
102676,102676,"Drivers and Passengers with Disabilities Fuel Grant 
The Drivers and Passengers with Disabilities Tax Relief Scheme, also known as the Disabled Drivers and Disabled Passengers (Tax Concessions) Scheme, provides remission or repayment of Vehicle Registration Tax (VRT) and VAT on the purchase of a qualifying vehicle by driver or passenger with a severe and permanent disability, or by a charitable organisation primarily engaged in the care and transport of persons with severe and permanent disabilities.
An exemption from Motor Tax on qualifying vehicles and a Fuel Grant paid in respect of fuel used for the transport of persons with severe and permanent disabilities in a qualifying vehicle are also provided under the Scheme.
The VRT, VAT and Motor Tax elements of the Scheme are administered by the Revenue Commissioners and more information on the Scheme is available by downloading the VRT7 Guide from the Revenue website here.",What benefits are provided under the Scheme?,The benefits provided under the Scheme include exemption from Motor Tax on qualifying vehicles and a Fuel Grant paid in respect of fuel used for the transport of persons with severe and permanent disabilities in a qualifying vehicle.,https://www.gov.ie/en/organisation-information/da2fe3-test/
342427,342427,"Ministers announce successful projects under 2022 Community Support Fund 
small grants to benefit community groups across Leitrim 
ring-fenced funding to support growing network of Women’s Sheds 
Minister for Rural and Community Development, Heather Humphreys, and Minister of State with responsibility for Community Development and Charities, Joe O’Brien, have today announced the successful projects in Co. Leitrim under the 2022 Community Support Fund.
The 2022 Community Support Fund was launched in November 2022 with funding of €10 million available. €100,000 of this funding was ring-fenced specifically to support Women’s Sheds. The key theme of the fund is to support groups, particularly in disadvantaged areas, with their energy bills, as well as with improvements to their facilities.",Who announced the successful projects under the 2022 Community Support Fund?,"The successful projects under the 2022 Community Support Fund were announced by Minister for Rural and Community Development, Heather Humphreys, and Minister of State with responsibility for Community Development and Charities, Joe O’Brien.",https://www.gov.ie/en/press-release/2f40f-ministers-humphreys-and-joe-obrien-announce-264879-for-144-local-projects-in-leitrim-under-the-community-support-fund-2022/
58836,58836,"The Criminal Injuries Compensation Tribunal 
In the matter of an application under the Scheme of Compensation for Personal Injuries Criminally Inflicted (“the Scheme”) 
Fatal Injuries Application 
The Deceased: [ ], who died on the [ ] aged [ ] years (“the Deceased”)
Applicant: [ ] (sister of the Deceased)
Date of receipt of application: [ ] 
Decision outcome: No award.
Background 
The Deceased was shot at [ ] on [ ] and died as a result of his gunshot wounds. According to a Garda Report, furnished to the Tribunal and dated [ ], the Deceased had been shot multiple times at point blank range by [ ] at [ ] and died instantly from his injuries. The Gardaí also noted that investigation into the shooting of the Deceased was still live and that no person had yet been made amenable for this crime.",What is the purpose of the Criminal Injuries Compensation Tribunal?,The purpose of the Criminal Injuries Compensation Tribunal is to handle applications for compensation related to personal injuries caused by criminal acts.,https://www.gov.ie/en/publication/ff96b-f54620-5-september-2022/
17474,17474,"Більшість українців прибувають в Ірландію через Дублінський аеропорт. Якщо ви прибули в Дублінський аеропорт, вас привезуть до конференц-центру «Сіті Вест», що розташований за адресою Гартерс-лейн, Саггарт, Дублін D24A38Y. Там ви зможете подати заявку на отримання PPSN. 
Якщо ви прибули не через Дублінський аеропорт, або вже знаходитеся в Ірландії і не подали заявку на отримання PPSN, ви можете зробити це в одному з наших офісів. Якщо ви живете в Дубліні, Корку або Лімерику, прийдіть до одного з Центру підтримки українців. Ви також можете зателефонувати до вашого місцевого офісу , там наші співробітники допоможуть вам отримати PPSN.
Що потрібно взяти з собою 
Щоб отримати PPSN вам необхідно мати при собі документ, що посвідчує особу, а саме:
ваше Посвідчення особи громадянина України, 
ваш Паспорт громадянина України, 
інша форма ідентифікації особи.
Фінансова підтримка 
Фінансова підтримка",What is the address of the conference center where you can apply for PPSN if you arrive at Dublin Airport?,"The conference center where you can apply for PPSN if you arrive at Dublin Airport is located at Garters Lane, Saggart, Dublin D24A38Y.",https://www.gov.ie/en/publication/0d610-social-welfare-supports-ukraine/
390147,390147,"An agreement to live apart 
Agreed arrangements in relation to custody and access to children 
The occupation and ownership of the family/shared home and any other property 
Maintenance and any lump sum payments 
Indemnity from the debts of the other spouse/civil partner 
Taxation 
Succession rights . 
It can be made into a rule of court by application to the court. This ensures that all the terms agreed upon can be legally enforced where covered by appropriate legislation. Information on making a separation agreement a rule of court is available on the Courts Service website. 
Reversing a separation
If you and your former partner decide to get back together, you can apply to the court to have your deed of separation cancelled. You will have to satisfy the court that you have reconciled as a couple and that you intend to resume cohabiting as a married couple. 
Rates",How can a separation agreement be legally enforced?,A separation agreement can be made into a rule of court by applying to the court. This ensures that the agreed terms can be legally enforced if covered by appropriate legislation.,https://www.citizensinformation.ie/en/birth-family-relationships/separation-and-divorce/separation-agreement/
111604,111604,"Stephanie Harris, Personnel Officer
Monday 27th September 2021 
Present: Martin Fraser, John Callinan, John Shaw, Elizabeth Canavan, Helen Blake, Dermot Woods, Aingeal O’Donoghue, Stephanie Harris.
MAC discussed a number of issues, including:
Update from the Taoiseach’s visit to New York last week;
Update on the whole-of-Government response to COVID-19;
Economic Matters, including Housing, Climate Action, Budget 2022 and finalisation of the National Development Plan (NDP);
Update on Northern Ireland; 
Preparations for a meeting of the Cabinet Committee on Economic Recovery and Investment later this week; and
Preparations for the Taoiseach’s attendance at the EU-Western Balkans summit in Slovenia next week.
MAC also discussed a number of staffing issues including:
Plans to offer the flu vaccine to all staff in the coming weeks.
Stephanie Harris, Personnel Officer
Mac Minutes Quarter 4 2021 
Monday 11th October 2021",What plans were mentioned regarding the flu vaccine?,The text mentions plans to offer the flu vaccine to all staff in the coming weeks.,https://www.gov.ie/en/collection/c6658-mac-minutes-2021/
42381,42381,"businesses must intend to resume trading in full once government restrictions are eased and will be required to declare this when applying
the business must be located in the State and the address of the business for tax purposes must be located wholly within a geographical region for which COVID-19 restrictions are in operation
profits of the trade or trading activities of the business must be chargeable to tax under Case I or II of Schedule D
payments under the scheme are taxable and a tax liability may arise when the business makes its annual tax returns
businesses must have a current eTax Clearance Certificate from the Revenue Commissioners
the scheme operates on a self-assessment basis. Businesses are required to retain evidence and documentation that supports the basis for making a claim under this scheme as this may be requested by the Department of Tourism, Culture, Arts, Gaeltacht, Sport and Media under future eligibility checks",Are the payments under the scheme taxable?,"Yes, the payments under the scheme are taxable and a tax liability may arise when the business makes its annual tax returns.",https://www.gov.ie/en/publication/7f483-guidelines-for-the-events-sector-covid-support-scheme/
200929,200929,"€6.6 million for 29 TV projects 
67 new radio projects to receive €636,000 
funding for 17 community broadcasters 
Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media, Catherine Martin, has today (Thursday 6 April) welcomed the announcement by Coimisiún na Meán of the award of over €7.5 million under the Sound and Vision Scheme. The awards are the outcomes for Rounds 47 and 48 of the Sound and Vision Scheme.
The allocations made under Round 47 will support 96 projects for broadcast on radio and TV, with funding being allocated to documentaries, dramas, entertainment, education and animation programming all of which reflect Irish culture, heritage and experience.
Speaking today Minister Martin said:",How many TV projects will receive funding?,29 TV projects will receive funding.,https://www.gov.ie/en/press-release/d6a5b-144-radio-tv-and-community-broadcast-projects-secure-over-75-million-through-sound-and-vision-scheme/
