,Unnamed: 0,question,true_answer,llama_7b_answer_x,llama_7b_human_answer,llama_7b_answer_y,llama_7b_human,llama_13b_answer,llama_13b_human_answer,msitra_7b_instruct_answer,mistra_7b_instruct_human_answer,answer,gpt3_turbo_instruct_human_answer,contexts
422,422,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,"On 03/10/2023, the Irish government launched the LGBTI+ Community Services Funding Call. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.",,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
423,423,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The LGBTI+ Community Services Funding Call was launched on 03/10/2023. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
424,424,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The Irish Innovation Seed Fund Programme was launched on 13/10/2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
425,425,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,"On 03/10/2023, the Irish government launched the LGBTI+ Community Services Funding Call. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.",,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
426,426,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The LGBTI+ Community Services Funding Call was launched on 03/10/2023. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
427,427,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The Irish Innovation Seed Fund Programme was launched on 13/10/2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
428,428,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,"On 03/10/2023, the Irish government launched the LGBTI+ Community Services Funding Call. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.",,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
429,429,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The LGBTI+ Community Services Funding Call was launched on 03/10/2023. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
430,430,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The Irish Innovation Seed Fund Programme was launched on 13/10/2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
431,431,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,"On 03/10/2023, the Irish government launched the LGBTI+ Community Services Funding Call. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.",,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
432,432,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The LGBTI+ Community Services Funding Call was launched on 03/10/2023. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
433,433,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The Irish Innovation Seed Fund Programme was launched on 13/10/2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
434,434,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,"On 03/10/2023, the Irish government launched the LGBTI+ Community Services Funding Call. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.",,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
435,435,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The LGBTI+ Community Services Funding Call was launched on 03/10/2023. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
436,436,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The Irish Innovation Seed Fund Programme was launched on 13/10/2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
437,437,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,"On 03/10/2023, the Irish government launched the LGBTI+ Community Services Funding Call. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.",,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
438,438,When was the Community Support Fund launched?,The Community Support Fund was launched in November 2022.,"The Community Support Fund was launched in November 2022.


    The funding is available for new initiatives and also open to existing LGBTI+ NGOs for funding to maintain and enhance existing services and",Yes,"The Community Support Fund was launched in November 2022 and provides funding for LGBTI+ community services. There are two streams of funding: Scheme A supports new initiatives and maintenance of existing services, while Scheme B",Yes,The Community Support Fund was launched in November 2022.,Yes,The Community Support Fund was launched in November 2022.,Yes,The LGBTI+ Community Services Funding Call was launched on 03/10/2023. Applications for funding will remain open until 12pm on Wednesday 26 July 2023.,,"['State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Cork under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
